start,end,text,speaker
00:00:00.000,00:00:03.000,"Arriving on scene, 32-year-old male, motorcycle crash, severe bleeding from left leg.",SPEAKER_00
00:00:03.500,00:00:06.000,"Scene safe, let's get gloves on and start assessment.",SPEAKER_01
00:00:06.500,00:00:09.000,"Airway clear, breathing rapid, shallow, about 30 per minute.",SPEAKER_01
00:00:09.500,00:00:12.000,"Pulse is weak, BP looks low, skin pale and cool.",SPEAKER_01
00:00:12.500,00:00:15.000,"Massive hemorrhage from femur fracture, applying tourniquet high and tight.",SPEAKER_01
00:00:15.500,00:00:18.000,"Tourniquet secured, bleeding controlled.",SPEAKER_00
00:00:18.500,00:00:21.000,"IV access established, let's start fluids, normal saline wide open.",SPEAKER_01
00:00:21.500,00:00:24.000,"Prepare TXA, one gram over 10 minutes, trauma protocol.",SPEAKER_01
00:00:24.500,00:00:27.000,"TXA drawn up, starting infusion now.",SPEAKER_00
00:00:27.500,00:00:30.000,"Pain score looks high, let's give fentanyl 50 micrograms IV slow push.",SPEAKER_01
00:00:30.500,00:00:33.000,"Fentanyl administered, monitoring vitals closely.",SPEAKER_00
00:00:33.500,00:00:36.000,"BP improving slightly, HR still elevated, continue fluids.",SPEAKER_01
00:00:36.500,00:00:39.000,"Let's prep for rapid transport, notify trauma center ETA 10 minutes.",SPEAKER_01
00:00:39.500,00:00:42.000,"Patient secured on backboard, monitor attached.",SPEAKER_00
00:00:42.500,00:00:45.000,"TXA infusion ongoing, fentanyl effective, patient calmer.",SPEAKER_01
00:00:45.500,00:00:48.000,"All meds documented: TXA, fentanyl, fluids.",SPEAKER_00
00:00:48.500,00:00:51.000,"Ready for transport, let's move.",SPEAKER_01
00:00:51.500,00:00:54.000,"Loading into ambulance, continue monitoring en route.",SPEAKER_00
00:00:54.500,00:00:57.000,"Great job team, let's roll.",SPEAKER_01
