start_time,end_time,text,speaker
00:00:00.000,00:00:01.000,So record there we go.,UNKNOWN
00:00:01.000,00:00:02.000,I'll leave it there.,UNKNOWN
00:00:02.000,00:00:03.000,Okay.,UNKNOWN
00:00:03.000,00:00:07.000,So you're setting us that you're in a community hospital.,UNKNOWN
00:00:07.000,00:00:08.000,It has surgical capabilities.,UNKNOWN
00:00:08.000,00:00:12.000,You have access to a portable ultrasound chest x-ray.,UNKNOWN
00:00:12.000,00:00:17.000,You have access to the blood bank with blood products available.,UNKNOWN
00:00:17.000,00:00:21.000,And the nearest referral center is 70 kilometers away.,UNKNOWN
00:00:21.000,00:00:24.000,You have ground and air transports available to you.,UNKNOWN
00:00:24.000,00:00:32.000,So the scenario is that you have a 35-year-old male who has sustained a single knife injury to the left chest,UNKNOWN
00:00:32.000,00:00:37.000,in a reported domestic dispute approximately five minutes prior to the ambulance arrival.,UNKNOWN
00:00:37.000,00:00:46.000,He has a two-semi or sucking stab wound in the left third intercostal space just anterior to the mid-exeter airline.,UNKNOWN
00:00:46.000,00:00:48.000,Breath sounds are diminished.,UNKNOWN
00:00:48.000,00:00:51.000,Vital signs are 80 or 40.,UNKNOWN
00:00:51.000,00:00:53.000,Heart rate is 140.,UNKNOWN
00:00:53.000,00:00:55.000,Perspriature rate is 32.,UNKNOWN
00:00:55.000,00:00:58.000,O2 sets are 80%.,UNKNOWN
00:00:58.000,00:01:00.000,He's on 12 years of oxygen.,UNKNOWN
00:01:00.000,00:01:02.000,Paramedics have started an IV-free.,UNKNOWN
00:01:02.000,00:01:03.000,Go.,UNKNOWN
00:01:08.000,00:01:10.000,The vision is already in.,UNKNOWN
00:01:10.000,00:01:11.000,I think so.,UNKNOWN
00:01:11.000,00:01:12.000,Okay.,UNKNOWN
00:01:12.000,00:01:13.000,Okay.,UNKNOWN
00:01:13.000,00:01:17.000,So everybody we have all of these.,UNKNOWN
00:01:17.000,00:01:18.000,35.,UNKNOWN
00:01:18.000,00:01:22.000,"35-year-old men, single stab wound, the chest seems fairly unstable.",UNKNOWN
00:01:22.000,00:01:23.000,Can I ask my nearest friend?,UNKNOWN
00:01:23.000,00:01:24.000,I can't breathe.,UNKNOWN
00:01:24.000,00:01:25.000,I can't breathe.,UNKNOWN
00:01:25.000,00:01:28.000,O2 is under the primary.,UNKNOWN
00:01:28.000,00:01:30.000,Just to be your primary survey.,UNKNOWN
00:01:30.000,00:01:32.000,Are we speaking in patient-sponating?,UNKNOWN
00:01:32.000,00:01:35.000,Can I have credit when it's really in the access?,UNKNOWN
00:01:35.000,00:01:37.000,Breath sounds to the ray.,UNKNOWN
00:01:37.000,00:01:40.000,Breathing in the vital right now.,UNKNOWN
00:01:40.000,00:01:42.000,If there's no.,UNKNOWN
00:01:42.000,00:01:44.000,I don't believe I hear breath sounds on the left.,UNKNOWN
00:01:44.000,00:01:45.000,Perfect.,UNKNOWN
00:01:45.000,00:01:48.000,I will ask you to do a for a cost to me.,UNKNOWN
00:01:48.000,00:01:49.000,Because first of all.,UNKNOWN
00:01:49.000,00:01:50.000,Perfect.,UNKNOWN
00:01:50.000,00:01:51.000,May I have a for a cost me tray please?,UNKNOWN
00:01:51.000,00:01:52.000,Do we have it on?,UNKNOWN
00:01:52.000,00:01:53.000,Hi.,UNKNOWN
00:01:53.000,00:01:54.000,He's got on card.,UNKNOWN
00:01:54.000,00:01:55.000,I think there is any.,UNKNOWN
00:01:55.000,00:01:56.000,Can I breathe?,UNKNOWN
